CONTENTS,STATE,GROUP,YEAR,SUB,POP,AGENCY,OFFENSE,OCCUR,MALE0_9,MALE10_12,MALE13_14,MALE15,MALE16,MALE17,MALE18,MALE19,MALE20,MALE21,MALE22,MALE23,MALE24,MALE25_29,MALE30_34,MALE35_39,MALE40_44,MALE45_49,MALE50_54,MALE55_59,MALE60_64,MALE65,ADULT_WHITE,ADULT_BLACK,ADULT_INDIAN,ADULT_ASIAN,JUVENILE_WHITE,JUVENILE_BLACK,JUVENILE_INDIAN,JUVENILE_ASIAN,ADULT_HISPANIC,ADULT_NONHISPANIC,JUVENILE_HISPANIC,JUVENILE_NONHISPANIC,TOTAL,MALE_TOTAL,FEMALE_TOTAL,ADULT_MALE,ADULT_FEMALE,JUVENILE_MALE,JUVENILE_FEMALE,ADULT_TOTAL,JUVENILE_TOTAL,10_14years ,15-19years ,20-24years ,Gender 
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Forcible rape,30,0,1,11,7,5,9,8,2,6,7,10,6,5,38,48,30,28,17,10,6,8,3,102,130,0,3,10,24,0,0,0,0,0,0,269,269,4,235,3,0,1,259,34,12,31,34,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Robbery,44,0,13,93,148,182,165,129,91,78,69,40,47,49,136,56,30,26,32,16,14,2,0,183,722,2,5,86,565,0,1,0,0,0,0,1564,1564,148,912,97,0,51,1381,652,106,715,283,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Aggravated assault,48,0,10,37,34,44,59,56,51,46,46,67,44,35,187,127,98,72,51,67,52,27,20,372,903,0,11,55,169,0,2,0,0,0,0,1512,1512,282,1286,240,0,42,1439,226,47,244,238,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Burglary-breaking or entering,46,0,13,69,47,60,65,51,39,32,31,27,24,20,77,56,46,46,54,36,31,15,3,210,414,1,5,47,217,0,2,0,0,0,0,896,896,54,630,42,0,12,824,266,82,262,134,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Larceny-theft (not motor vehicles),50,0,47,140,154,148,165,175,161,139,137,125,153,121,552,527,369,403,545,457,325,159,72,2047,4192,9,94,270,758,1,19,0,0,0,0,7390,7390,2316,6342,1922,0,394,7108,1048,187,803,675,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Motor vehicle theft,48,0,32,204,264,350,417,284,175,140,105,111,107,75,213,118,88,42,50,43,20,10,3,351,1652,0,6,246,1227,1,6,0,0,0,0,3489,3489,638,2009,425,0,213,2994,1480,236,1490,538,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Other assaults,50,2,32,171,180,223,250,228,221,217,298,329,348,344,1627,1323,1042,716,590,534,382,174,97,3316,7368,11,104,254,1177,0,1,0,0,0,0,12231,12231,2903,10799,2329,0,574,11839,1430,203,1102,1536,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Arson,26,0,2,2,1,2,0,3,0,1,0,0,1,2,8,8,2,6,1,4,4,1,0,15,31,0,2,1,6,0,0,0,0,0,0,55,55,7,48,7,0,0,55,7,4,6,4,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Forgery and counterfeiting,33,0,0,0,0,2,6,0,2,2,2,6,2,2,10,9,9,2,2,8,5,3,0,21,81,0,1,2,6,0,0,0,0,0,0,111,111,39,103,39,0,0,105,8,0,10,14,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Fraud,40,0,0,2,0,0,1,1,2,2,6,9,4,10,21,15,11,6,10,8,2,3,2,30,133,0,1,1,2,0,1,0,0,0,0,168,168,53,164,52,0,1,166,4,2,4,31,Male
Detail record,Illinois,"Cities 1,000,000 or over",16,Non-Suburban,2725153,CHICAGO,Vandalism,47,0,9,57,60,51,54,65,61,65,54,73,67,64,231,189,110,75,55,43,44,14,11,538,1037,0,16,108,160,0,2,0,0,0,0,1861,1861,409,1591,370,0,39,1796,270,66,291,323,Male
