agency_name,state,state_abb,year,month,date,crosswalk_agency_name,population_group,actual_murder,actual_manslaughter,actual_rape_total,actual_robbery_total,actual_assault_total,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total
chicago heights,illinois,IL,2018,january,43101,chicago heights police dept,"city 25,000 thru 49,999",1,0,4,9,9,13,52,19,107,9,23,84,107
chicago heights,illinois,IL,2018,february,43132,chicago heights police dept,"city 25,000 thru 49,999",2,0,3,7,6,10,17,12,57,6,18,39,57
chicago heights,illinois,IL,2018,march,43160,chicago heights police dept,"city 25,000 thru 49,999",0,0,2,17,11,7,51,15,103,11,30,73,103
chicago heights,illinois,IL,2018,april,43191,chicago heights police dept,"city 25,000 thru 49,999",0,0,7,6,0,18,19,8,58,0,13,45,58
chicago heights,illinois,IL,2018,may,43221,chicago heights police dept,"city 25,000 thru 49,999",1,0,2,5,12,23,39,3,85,12,20,65,85
chicago heights,illinois,IL,2018,june,43252,chicago heights police dept,"city 25,000 thru 49,999",1,0,5,13,16,19,28,6,88,16,35,53,88
chicago heights,illinois,IL,2018,july,43282,chicago heights police dept,"city 25,000 thru 49,999",0,0,1,7,17,22,33,18,98,17,25,73,98
chicago heights,illinois,IL,2018,august,43313,chicago heights police dept,"city 25,000 thru 49,999",0,0,1,14,9,15,18,4,61,9,24,37,61
chicago heights,illinois,IL,2018,september,43344,chicago heights police dept,"city 25,000 thru 49,999",2,0,1,6,13,25,41,10,98,13,22,76,98
chicago heights,illinois,IL,2018,october,43374,chicago heights police dept,"city 25,000 thru 49,999",1,0,0,15,13,24,22,11,86,13,29,57,86
chicago heights,illinois,IL,2018,november,43405,chicago heights police dept,"city 25,000 thru 49,999",1,0,3,8,5,20,27,7,71,5,17,54,71
chicago heights,illinois,IL,2018,december,43435,chicago heights police dept,"city 25,000 thru 49,999",0,0,3,11,12,22,16,8,72,12,26,46,72
chicago fire dpt arson i,illinois,IL,2018,january,43101,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,february,43132,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,march,43160,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,april,43191,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,may,43221,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,june,43252,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,july,43282,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,august,43313,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,september,43344,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,october,43374,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,november,43405,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago fire dpt arson i,illinois,IL,2018,december,43435,arson investigations chicago fire dept chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago ridge,illinois,IL,2018,january,43101,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,0,0,1,28,0,29,0,0,29,29
chicago ridge,illinois,IL,2018,february,43132,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,0,0,1,34,0,35,0,0,35,35
chicago ridge,illinois,IL,2018,march,43160,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,0,0,0,44,1,45,0,0,45,45
chicago ridge,illinois,IL,2018,april,43191,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,0,0,1,21,1,23,0,0,23,23
chicago ridge,illinois,IL,2018,may,43221,chicago ridge police dept,"city 10,000 thru 24,999",0,0,1,0,0,3,48,2,54,0,1,53,54
chicago ridge,illinois,IL,2018,june,43252,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,1,1,3,46,0,51,1,2,49,51
chicago ridge,illinois,IL,2018,july,43282,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,0,4,3,38,5,50,4,4,46,50
chicago ridge,illinois,IL,2018,august,43313,chicago ridge police dept,"city 10,000 thru 24,999",0,0,1,0,1,0,40,6,48,1,2,46,48
chicago ridge,illinois,IL,2018,september,43344,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,2,4,4,29,2,41,4,6,35,41
chicago ridge,illinois,IL,2018,october,43374,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,1,0,2,27,4,34,0,1,33,34
chicago ridge,illinois,IL,2018,november,43405,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,1,1,0,27,2,31,1,2,29,31
chicago ridge,illinois,IL,2018,december,43435,chicago ridge police dept,"city 10,000 thru 24,999",0,0,0,0,0,2,27,0,29,0,0,29,29
chicago & northwesternrp,illinois,IL,2018,january,43101,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,february,43132,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,march,43160,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,april,43191,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,may,43221,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,june,43252,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,july,43282,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,august,43313,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,september,43344,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,october,43374,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,november,43405,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago & northwesternrp,illinois,IL,2018,december,43435,chicago & northwesternrp,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
south chicago heights,illinois,IL,2018,january,43101,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,0,0,0,12,0,12,0,0,12,12
south chicago heights,illinois,IL,2018,february,43132,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,0,0,0,8,1,9,0,0,9,9
south chicago heights,illinois,IL,2018,march,43160,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,0,0,1,10,0,11,0,0,11,11
south chicago heights,illinois,IL,2018,april,43191,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,0,1,0,10,0,11,1,1,10,11
south chicago heights,illinois,IL,2018,may,43221,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,0,2,0,10,0,12,2,2,10,12
south chicago heights,illinois,IL,2018,june,43252,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,1,0,1,17,2,21,0,1,20,21
south chicago heights,illinois,IL,2018,july,43282,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,0,0,0,16,0,16,0,0,16,16
south chicago heights,illinois,IL,2018,august,43313,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,0,0,1,11,1,13,0,0,13,13
south chicago heights,illinois,IL,2018,september,43344,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,1,0,1,9,2,13,0,1,12,13
south chicago heights,illinois,IL,2018,october,43374,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,0,0,0,12,1,13,0,0,13,13
south chicago heights,illinois,IL,2018,november,43405,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,1,2,3,10,0,16,2,3,13,16
south chicago heights,illinois,IL,2018,december,43435,south chicago heights police dept,"city 2,500 thru 9,999",0,0,0,0,0,1,15,2,18,0,0,18,18
univ of il: chicago,illinois,IL,2018,january,43101,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,february,43132,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,march,43160,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,april,43191,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,may,43221,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,june,43252,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,july,43282,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,august,43313,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,september,43344,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,october,43374,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,november,43405,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
univ of il: chicago,illinois,IL,2018,december,43435,university of illinois at chicago police dept,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago state university,illinois,IL,2018,january,43101,chicago state university police,"city under 2,500",0,0,0,0,0,1,5,0,6,0,0,6,6
chicago state university,illinois,IL,2018,february,43132,chicago state university police,"city under 2,500",0,0,0,0,0,0,5,0,5,0,0,5,5
chicago state university,illinois,IL,2018,march,43160,chicago state university police,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago state university,illinois,IL,2018,april,43191,chicago state university police,"city under 2,500",0,0,0,0,0,0,6,0,6,0,0,6,6
chicago state university,illinois,IL,2018,may,43221,chicago state university police,"city under 2,500",0,0,0,0,0,1,1,0,2,0,0,2,2
chicago state university,illinois,IL,2018,june,43252,chicago state university police,"city under 2,500",0,0,0,0,0,0,1,0,1,0,0,1,1
chicago state university,illinois,IL,2018,july,43282,chicago state university police,"city under 2,500",0,0,0,0,0,1,2,0,3,0,0,3,3
chicago state university,illinois,IL,2018,august,43313,chicago state university police,"city under 2,500",0,0,0,0,0,1,3,0,4,0,0,4,4
chicago state university,illinois,IL,2018,september,43344,chicago state university police,"city under 2,500",0,0,0,0,0,0,2,0,2,0,0,2,2
chicago state university,illinois,IL,2018,october,43374,chicago state university police,"city under 2,500",0,0,0,0,0,0,1,0,1,0,0,1,1
chicago state university,illinois,IL,2018,november,43405,chicago state university police,"city under 2,500",0,0,0,0,0,0,4,0,4,0,0,4,4
chicago state university,illinois,IL,2018,december,43435,chicago state university police,"city under 2,500",0,0,0,0,0,0,2,0,2,0,0,2,2
loyola univ of chicago,illinois,IL,2018,january,43101,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,february,43132,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,march,43160,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,april,43191,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,may,43221,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,june,43252,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,july,43282,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,august,43313,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,september,43344,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,october,43374,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,november,43405,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
loyola univ of chicago,illinois,IL,2018,december,43435,loyola univ of chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago transit authorit,illinois,IL,2018,january,43101,chicago transit authority pd chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
chicago transit authorit,illinois,IL,2018,february,43132,chicago transit authority pd chicago,"city under 2,500",0,0,0,0,0,0,0,0,0,0,0,0,0
