dt,dt_iso,dt_iso,Date ,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1483228800,2017-01-01 00:00:00 +0000 UTC,2017-01-01 00:00:00 +0000 UTC,2017-01-01 00:00:00 ,4887398,,,,274.06,273.15,275.15,1011,,,100,4,300,,,,,,,,,90,804,Clouds,overcast clouds,04n
1483232400,2017-01-01 01:00:00 +0000 UTC,2017-01-01 01:00:00 +0000 UTC,2017-01-01 01:00:00 ,4887398,,,,272.94,271.15,274.15,1011,,,50,4,290,,,,,,,,,40,802,Clouds,scattered clouds,03n
1483236000,2017-01-01 02:00:00 +0000 UTC,2017-01-01 02:00:00 +0000 UTC,2017-01-01 02:00:00 ,4887398,,,,272.14,271.15,273.15,1012,,,100,3,270,,,,,,,,,1,800,Clear,sky is clear,01n
1483239600,2017-01-01 03:00:00 +0000 UTC,2017-01-01 03:00:00 +0000 UTC,2017-01-01 03:00:00 ,4887398,,,,270.97,270.15,272.15,1012,,,63,3,250,,,,,,,,,1,800,Clear,sky is clear,01n
1483243200,2017-01-01 04:00:00 +0000 UTC,2017-01-01 04:00:00 +0000 UTC,2017-01-01 04:00:00 ,4887398,,,,270.14,269.15,271.15,1014,,,73,1,220,,,,,,,,,1,800,Clear,sky is clear,01n
1483246800,2017-01-01 05:00:00 +0000 UTC,2017-01-01 05:00:00 +0000 UTC,2017-01-01 05:00:00 ,4887398,,,,270.04,269.15,271.15,1015,,,92,3,290,,,,,,,,,1,800,Clear,sky is clear,01n
1483250400,2017-01-01 06:00:00 +0000 UTC,2017-01-01 06:00:00 +0000 UTC,2017-01-01 06:00:00 ,4887398,,,,269.34,267.15,271.15,1016,,,74,2,240,,,,,,,,,1,800,Clear,sky is clear,01n
1483254000,2017-01-01 07:00:00 +0000 UTC,2017-01-01 07:00:00 +0000 UTC,2017-01-01 07:00:00 ,4887398,,,,268.34,266.15,270.15,1016,,,79,1,210,,,,,,,,,1,800,Clear,sky is clear,01n
1483257600,2017-01-01 08:00:00 +0000 UTC,2017-01-01 08:00:00 +0000 UTC,2017-01-01 08:00:00 ,4887398,,,,267.93,266.15,269.15,1017,,,85,2,247,,,,,,,,,1,701,Mist,mist,50n
1483261200,2017-01-01 09:00:00 +0000 UTC,2017-01-01 09:00:00 +0000 UTC,2017-01-01 09:00:00 ,4887398,,,,267.15,266.15,269.15,1017,,,92,2,247,,,,,,,,,1,800,Clear,sky is clear,01n
1483264800,2017-01-01 10:00:00 +0000 UTC,2017-01-01 10:00:00 +0000 UTC,2017-01-01 10:00:00 ,4887398,,,,265.93,265.15,267.15,1018,,,100,3,210,,,,,,,,,1,701,Mist,mist,50n
1483268400,2017-01-01 11:00:00 +0000 UTC,2017-01-01 11:00:00 +0000 UTC,2017-01-01 11:00:00 ,4887398,,,,265.79,265.15,267.15,1018,,,100,1,210,,,,,,,,,1,701,Mist,mist,50n
1483272000,2017-01-01 12:00:00 +0000 UTC,2017-01-01 12:00:00 +0000 UTC,2017-01-01 12:00:00 ,4887398,,,,266.26,265.15,268.15,1019,,,100,2,210,,,,,,,,,1,701,Mist,mist,50n
1483275600,2017-01-01 13:00:00 +0000 UTC,2017-01-01 13:00:00 +0000 UTC,2017-01-01 13:00:00 ,4887398,,,,266.06,265.15,267.15,1019,,,100,2,200,,,,,,,,,1,701,Mist,mist,50n
