dt,dt_iso,Date ,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1514764800,2018-01-01 00:00:00 +0000 UTC,2018-01-01 00:00:00 ,4887398,,,,260.5499844,258.15,263.15,1035,,,55,4,330,,,,,,,,,75,803,Clouds,broken clouds,04n
1514768400,2018-01-01 01:00:00 +0000 UTC,2018-01-01 01:00:00 ,4887398,,,,259.75,257.15,262.15,1035,,,55,3,320,,,,,,,,,1,800,Clear,sky is clear,01n
1514772000,2018-01-01 02:00:00 +0000 UTC,2018-01-01 02:00:00 ,4887398,,,,258.75,256.15,261.15,1036,,,55,6,270,,,,,,,,,40,802,Clouds,scattered clouds,03n
1514775600,2018-01-01 03:00:00 +0000 UTC,2018-01-01 03:00:00 ,4887398,,,,256.85,254.15,260.15,1036,,,65,3,300,,,,,,,,,1,800,Clear,sky is clear,01n
1514779200,2018-01-01 04:00:00 +0000 UTC,2018-01-01 04:00:00 ,4887398,,,,256.12,253.15,259.15,1037,,,50,6,280,,,,,,,,,20,801,Clouds,few clouds,02n
1514782800,2018-01-01 05:00:00 +0000 UTC,2018-01-01 05:00:00 ,4887398,,,,255.69,252.15,259.15,1037,,,54,5,290,,,,,,,,,1,800,Clear,sky is clear,01n
1514786400,2018-01-01 06:00:00 +0000 UTC,2018-01-01 06:00:00 ,4887398,,,,254.87,252.15,257.15,1037,,,49,5,280,,,,,,,,,1,800,Clear,sky is clear,01n
1514790000,2018-01-01 07:00:00 +0000 UTC,2018-01-01 07:00:00 ,4887398,,,,254.41,251.15,257.15,1038,,,59,4,280,,,,,,,,,1,800,Clear,sky is clear,01n
1514793600,2018-01-01 08:00:00 +0000 UTC,2018-01-01 08:00:00 ,4887398,,,,253.6,251.15,256.15,1038,,,54,3,280,,,,,,,,,1,800,Clear,sky is clear,01n
1514797200,2018-01-01 09:00:00 +0000 UTC,2018-01-01 09:00:00 ,4887398,,,,252.96,250.15,255.15,1038,,,49,4,280,,,,,,,,,1,800,Clear,sky is clear,01n
1514800800,2018-01-01 10:00:00 +0000 UTC,2018-01-01 10:00:00 ,4887398,,,,252.42,250.15,255.15,1038,,,53,5,280,,,,,,,,,1,800,Clear,sky is clear,01n
1514804400,2018-01-01 11:00:00 +0000 UTC,2018-01-01 11:00:00 ,4887398,,,,251.87,250.15,254.15,1038,,,58,6,280,,,,,,,,,5,800,Clear,sky is clear,02n
1514808000,2018-01-01 12:00:00 +0000 UTC,2018-01-01 12:00:00 ,4887398,,,,251.69,250.15,254.15,1039,,,53,6,280,,,,,,,,,5,800,Clear,sky is clear,02n
1514811600,2018-01-01 13:00:00 +0000 UTC,2018-01-01 13:00:00 ,4887398,,,,251.05,249.15,253.15,1039,,,53,7,280,,,,,,,,,5,800,Clear,sky is clear,02n
