,dt,dt_iso_x,city_id_x,temp_x,temp_min_x,temp_max_x,pressure_x,humidity_x,wind_speed_x,wind_deg_x,weather_id_x,weather_main_x,weather_description_x,weather_icon_x,dt_iso_y,city_id_y,temp_y,temp_min_y,temp_max_y,pressure_y,humidity_y,wind_speed_y,wind_deg_y,weather_id_y,weather_main_y,weather_description_y,weather_icon_y
0,1514764800,2018-01-01 00:00:00 +0000 UTC,4887398,260.5499844,258.15,263.15,1035,55,4,330,803,Clouds,broken clouds,04n,2018-01-01 00:00:00 +0000 UTC,4887398,260.5499844,258.15,263.15,1035,55,4,330,803,Clouds,broken clouds,04n
1,1514768400,2018-01-01 01:00:00 +0000 UTC,4887398,259.75,257.15,262.15,1035,55,3,320,800,Clear,sky is clear,01n,2018-01-01 01:00:00 +0000 UTC,4887398,259.75,257.15,262.15,1035,55,3,320,800,Clear,sky is clear,01n
2,1514772000,2018-01-01 02:00:00 +0000 UTC,4887398,258.75,256.15,261.15,1036,55,6,270,802,Clouds,scattered clouds,03n,2018-01-01 02:00:00 +0000 UTC,4887398,258.75,256.15,261.15,1036,55,6,270,802,Clouds,scattered clouds,03n
3,1514775600,2018-01-01 03:00:00 +0000 UTC,4887398,256.85,254.15,260.15,1036,65,3,300,800,Clear,sky is clear,01n,2018-01-01 03:00:00 +0000 UTC,4887398,256.85,254.15,260.15,1036,65,3,300,800,Clear,sky is clear,01n
4,1514779200,2018-01-01 04:00:00 +0000 UTC,4887398,256.12,253.15,259.15,1037,50,6,280,801,Clouds,few clouds,02n,2018-01-01 04:00:00 +0000 UTC,4887398,256.12,253.15,259.15,1037,50,6,280,801,Clouds,few clouds,02n
5,1514782800,2018-01-01 05:00:00 +0000 UTC,4887398,255.69,252.15,259.15,1037,54,5,290,800,Clear,sky is clear,01n,2018-01-01 05:00:00 +0000 UTC,4887398,255.69,252.15,259.15,1037,54,5,290,800,Clear,sky is clear,01n
6,1514786400,2018-01-01 06:00:00 +0000 UTC,4887398,254.87,252.15,257.15,1037,49,5,280,800,Clear,sky is clear,01n,2018-01-01 06:00:00 +0000 UTC,4887398,254.87,252.15,257.15,1037,49,5,280,800,Clear,sky is clear,01n
7,1514790000,2018-01-01 07:00:00 +0000 UTC,4887398,254.41,251.15,257.15,1038,59,4,280,800,Clear,sky is clear,01n,2018-01-01 07:00:00 +0000 UTC,4887398,254.41,251.15,257.15,1038,59,4,280,800,Clear,sky is clear,01n
8,1514793600,2018-01-01 08:00:00 +0000 UTC,4887398,253.6,251.15,256.15,1038,54,3,280,800,Clear,sky is clear,01n,2018-01-01 08:00:00 +0000 UTC,4887398,253.6,251.15,256.15,1038,54,3,280,800,Clear,sky is clear,01n
9,1514797200,2018-01-01 09:00:00 +0000 UTC,4887398,252.96,250.15,255.15,1038,49,4,280,800,Clear,sky is clear,01n,2018-01-01 09:00:00 +0000 UTC,4887398,252.96,250.15,255.15,1038,49,4,280,800,Clear,sky is clear,01n
10,1514800800,2018-01-01 10:00:00 +0000 UTC,4887398,252.42,250.15,255.15,1038,53,5,280,800,Clear,sky is clear,01n,2018-01-01 10:00:00 +0000 UTC,4887398,252.42,250.15,255.15,1038,53,5,280,800,Clear,sky is clear,01n
11,1514804400,2018-01-01 11:00:00 +0000 UTC,4887398,251.87,250.15,254.15,1038,58,6,280,800,Clear,sky is clear,02n,2018-01-01 11:00:00 +0000 UTC,4887398,251.87,250.15,254.15,1038,58,6,280,800,Clear,sky is clear,02n
12,1514808000,2018-01-01 12:00:00 +0000 UTC,4887398,251.69,250.15,254.15,1039,53,6,280,800,Clear,sky is clear,02n,2018-01-01 12:00:00 +0000 UTC,4887398,251.69,250.15,254.15,1039,53,6,280,800,Clear,sky is clear,02n
13,1514811600,2018-01-01 13:00:00 +0000 UTC,4887398,251.05,249.15,253.15,1039,53,7,280,800,Clear,sky is clear,02n,2018-01-01 13:00:00 +0000 UTC,4887398,251.05,249.15,253.15,1039,53,7,280,800,Clear,sky is clear,02n
14,1514815200,2018-01-01 14:00:00 +0000 UTC,4887398,250.69,249.15,252.15,1039,58,7,280,801,Clouds,few clouds,02d,2018-01-01 14:00:00 +0000 UTC,4887398,250.69,249.15,252.15,1039,58,7,280,801,Clouds,few clouds,02d
15,1514818800,2018-01-01 15:00:00 +0000 UTC,4887398,250.68,248.15,253.15,1040,53,7,270,801,Clouds,few clouds,02d,2018-01-01 15:00:00 +0000 UTC,4887398,250.68,248.15,253.15,1040,53,7,270,801,Clouds,few clouds,02d
16,1514822400,2018-01-01 16:00:00 +0000 UTC,4887398,251.6,249.15,253.15,1040,58,5,270,800,Clear,sky is clear,01d,2018-01-01 16:00:00 +0000 UTC,4887398,251.6,249.15,253.15,1040,58,5,270,800,Clear,sky is clear,01d
17,1514826000,2018-01-01 17:00:00 +0000 UTC,4887398,252.59,250.15,255.15,1040,49,6,260,800,Clear,sky is clear,02d,2018-01-01 17:00:00 +0000 UTC,4887398,252.59,250.15,255.15,1040,49,6,260,800,Clear,sky is clear,02d
18,1514829600,2018-01-01 18:00:00 +0000 UTC,4887398,253.6,251.15,255.15,1040,59,4,280,800,Clear,sky is clear,01d,2018-01-01 18:00:00 +0000 UTC,4887398,253.6,251.15,255.15,1040,59,4,280,800,Clear,sky is clear,01d
